epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,2895.4,0.86207,0.70015,1.02974,0.88881,0.8702,0.90835,0.72443,0.73788,0.56684,0.98585,0.0011829,0.0011829,0.0011829
24,3022.34,0.84876,0.67807,1.02516,0.87374,0.87602,0.91299,0.73003,0.725,0.54794,0.98359,0.0011609,0.0011609,0.0011609
25,3147.04,0.85148,0.6795,1.01901,0.89397,0.88415,0.9255,0.74567,0.71564,0.53948,0.9661,0.00113889,0.00113889,0.00113889
26,3272.17,0.84953,0.66838,1.02158,0.90997,0.88723,0.92897,0.74511,0.71036,0.52609,0.96675,0.00111689,0.00111689,0.00111689
27,3396.94,0.84264,0.6551,1.01894,0.88278,0.87284,0.90921,0.73212,0.72997,0.55489,0.98169,0.00109489,0.00109489,0.00109489
28,3522.04,0.83588,0.65155,1.01376,0.89365,0.87559,0.91944,0.7365,0.72505,0.5281,0.98118,0.00107288,0.00107288,0.00107288
29,3648.72,0.81585,0.64374,1.00673,0.89305,0.8895,0.92515,0.74935,0.70744,0.51293,0.97556,0.00105088,0.00105088,0.00105088
30,3778.31,0.80681,0.63336,1.00308,0.93233,0.87179,0.92781,0.75288,0.71123,0.51352,0.96594,0.00102887,0.00102887,0.00102887
31,3902.51,0.82623,0.63759,1.01052,0.8931,0.88831,0.92902,0.76041,0.69495,0.49994,0.96787,0.00100687,0.00100687,0.00100687
32,4028.14,0.81882,0.62028,1.00674,0.91047,0.88832,0.93575,0.76255,0.69511,0.49299,0.95876,0.000984864,0.000984864,0.000984864
33,4153.38,0.79759,0.61569,0.99703,0.93092,0.86731,0.92996,0.76102,0.68163,0.50308,0.96211,0.000962859,0.000962859,0.000962859
34,4278.43,0.79606,0.61419,1.00224,0.90251,0.88408,0.92922,0.76157,0.69335,0.5033,0.96373,0.000940855,0.000940855,0.000940855
35,4403.82,0.78293,0.60757,0.99731,0.93335,0.87105,0.93058,0.76225,0.70082,0.50328,0.96798,0.00091885,0.00091885,0.00091885
36,4529.98,0.78852,0.60439,1.00121,0.90696,0.89675,0.93206,0.76284,0.6766,0.49206,0.9565,0.000896846,0.000896846,0.000896846
37,4655.72,0.78206,0.58779,0.98903,0.92185,0.88369,0.9349,0.77516,0.66209,0.47801,0.94893,0.000874842,0.000874842,0.000874842
38,4782.73,0.76474,0.58453,0.98126,0.91507,0.89291,0.93275,0.76843,0.68398,0.48287,0.96028,0.000852837,0.000852837,0.000852837
39,4912.13,0.78543,0.58969,0.99169,0.91686,0.88602,0.93056,0.77128,0.67278,0.47411,0.95406,0.000830833,0.000830833,0.000830833
40,5038.26,0.75226,0.56252,0.97679,0.91412,0.90762,0.94062,0.77018,0.69726,0.47847,0.9615,0.000808828,0.000808828,0.000808828
41,5163.95,0.75695,0.5757,0.98176,0.91971,0.89415,0.93965,0.77141,0.67242,0.47092,0.95507,0.000786824,0.000786824,0.000786824
42,5289.58,0.75611,0.5646,0.98543,0.91146,0.89959,0.94019,0.77926,0.66354,0.47624,0.94968,0.00076482,0.00076482,0.00076482
43,5416.22,0.74597,0.56382,0.97943,0.91718,0.91001,0.94264,0.774,0.67318,0.47773,0.94884,0.000742815,0.000742815,0.000742815
44,5542.7,0.75583,0.56043,0.97692,0.91935,0.89735,0.94008,0.77651,0.65537,0.46204,0.94487,0.000720811,0.000720811,0.000720811
45,5668.81,0.7394,0.54497,0.97864,0.91829,0.90675,0.94166,0.78114,0.6584,0.46679,0.94562,0.000698806,0.000698806,0.000698806
46,5794.74,0.73061,0.54474,0.96869,0.90895,0.91609,0.94356,0.78628,0.65506,0.45536,0.94201,0.000676802,0.000676802,0.000676802
47,5922.61,0.72612,0.54019,0.95973,0.92336,0.90906,0.94622,0.78541,0.65351,0.45258,0.94188,0.000654798,0.000654798,0.000654798
48,6048.12,0.72032,0.5174,0.96461,0.93722,0.91598,0.95029,0.78967,0.65755,0.44039,0.94491,0.000632793,0.000632793,0.000632793
49,6174.06,0.73977,0.53685,0.97581,0.92572,0.91508,0.94557,0.7945,0.63304,0.43998,0.93658,0.000610789,0.000610789,0.000610789
50,6298.56,0.72513,0.52461,0.95966,0.9251,0.90791,0.94853,0.7911,0.65668,0.44495,0.93848,0.000588784,0.000588784,0.000588784
51,6424.59,0.71769,0.52085,0.95845,0.93224,0.90306,0.94675,0.79566,0.63472,0.44396,0.93349,0.00056678,0.00056678,0.00056678
52,6550.82,0.70238,0.51296,0.95316,0.89753,0.90694,0.93372,0.78037,0.65697,0.45054,0.93925,0.000544776,0.000544776,0.000544776
53,6676.05,0.70846,0.5136,0.96166,0.94164,0.88717,0.94532,0.79837,0.62783,0.43357,0.93278,0.000522771,0.000522771,0.000522771
54,6800.43,0.70515,0.5207,0.96151,0.91221,0.90568,0.94299,0.79387,0.63001,0.43615,0.93233,0.000500767,0.000500767,0.000500767
55,6926.83,0.69902,0.50847,0.95221,0.92695,0.9086,0.94617,0.79821,0.62551,0.42393,0.92772,0.000478762,0.000478762,0.000478762
56,7052.11,0.69226,0.48738,0.94945,0.93313,0.91596,0.95176,0.80198,0.62687,0.41736,0.92907,0.000456758,0.000456758,0.000456758
57,7176.95,0.69809,0.50643,0.95915,0.9409,0.90098,0.94589,0.80017,0.62859,0.43081,0.93464,0.000434754,0.000434754,0.000434754
58,7306.14,0.67063,0.48619,0.94611,0.94735,0.89585,0.94921,0.80889,0.60952,0.41608,0.92767,0.000412749,0.000412749,0.000412749
59,7431.26,0.68929,0.49369,0.94966,0.92836,0.90857,0.94652,0.80643,0.6239,0.41644,0.92777,0.000390745,0.000390745,0.000390745
60,7556.53,0.67572,0.48618,0.94018,0.93009,0.91561,0.94786,0.8102,0.60046,0.41219,0.91958,0.00036874,0.00036874,0.00036874
61,7681.91,0.67239,0.47855,0.94211,0.94607,0.90442,0.95188,0.80835,0.60602,0.41029,0.92232,0.000346736,0.000346736,0.000346736
62,7806.66,0.65146,0.47722,0.93456,0.93811,0.92,0.95433,0.81139,0.61228,0.4027,0.92691,0.000324732,0.000324732,0.000324732
63,7932.49,0.65883,0.47655,0.94417,0.93603,0.92138,0.95203,0.81572,0.59787,0.41004,0.92018,0.000302727,0.000302727,0.000302727
64,8057.24,0.66278,0.47745,0.94783,0.933,0.91555,0.95281,0.81897,0.59221,0.40079,0.92046,0.000280723,0.000280723,0.000280723
65,8183.48,0.64978,0.4673,0.93253,0.93519,0.90489,0.95219,0.81757,0.59522,0.40756,0.91499,0.000258718,0.000258718,0.000258718
66,8317.38,0.55209,0.38006,0.87523,0.92483,0.91293,0.95,0.81209,0.59796,0.40617,0.92035,0.000236714,0.000236714,0.000236714
67,8443.9,0.53115,0.36424,0.86799,0.94593,0.90849,0.95204,0.81608,0.5989,0.4,0.91832,0.00021471,0.00021471,0.00021471
68,8572.32,0.52668,0.35332,0.86078,0.94047,0.90903,0.9519,0.81935,0.59238,0.39376,0.91517,0.000192705,0.000192705,0.000192705
69,8695.48,0.5333,0.35077,0.86901,0.92335,0.91824,0.95087,0.81872,0.5919,0.39204,0.91974,0.000170701,0.000170701,0.000170701
70,8821.39,0.51507,0.34169,0.85881,0.94542,0.9031,0.951,0.81852,0.59109,0.38868,0.922,0.000148696,0.000148696,0.000148696
71,8945.83,0.51097,0.34336,0.86503,0.94883,0.89671,0.95083,0.81981,0.58129,0.38581,0.91631,0.000126692,0.000126692,0.000126692
72,9073.34,0.51133,0.34061,0.86222,0.94617,0.90877,0.95349,0.82557,0.57828,0.38617,0.91365,0.000104688,0.000104688,0.000104688
73,9197.56,0.50504,0.33972,0.86128,0.91609,0.93265,0.95486,0.82431,0.58507,0.38862,0.91628,8.26832e-05,8.26832e-05,8.26832e-05
74,9322.53,0.50267,0.33584,0.8573,0.9358,0.91366,0.95431,0.82419,0.57764,0.3812,0.91354,6.06788e-05,6.06788e-05,6.06788e-05
75,9450.58,0.49892,0.33441,0.85765,0.93429,0.91506,0.95374,0.82436,0.57465,0.38028,0.91148,3.86744e-05,3.86744e-05,3.86744e-05
