epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.759,1.32806,2.49827,1.25361,0.66863,0.6913,0.70483,0.4875,1.09042,1.83366,1.14381,0.000553417,0.000553417,0.000553417
2,254.353,1.2571,1.66541,1.22197,0.72519,0.63401,0.70567,0.48703,1.0757,1.47661,1.15851,0.00109444,0.00109444,0.00109444
3,379.597,1.26113,1.44699,1.22771,0.80307,0.73772,0.77826,0.54812,1.04517,1.23223,1.14998,0.0016208,0.0016208,0.0016208
4,505.24,1.20613,1.26014,1.20245,0.76368,0.73831,0.75621,0.53047,1.05542,1.09319,1.15213,0.00160099,0.00160099,0.00160099
5,631.269,1.1541,1.10787,1.17112,0.79757,0.76385,0.81371,0.58082,0.99521,0.90133,1.10831,0.00157898,0.00157898,0.00157898
6,756.721,1.11863,1.03447,1.15137,0.81185,0.74906,0.79826,0.57991,0.9531,0.84869,1.08394,0.00155698,0.00155698,0.00155698
7,883.305,1.09837,1.01148,1.14452,0.83578,0.81701,0.85069,0.62949,0.89251,0.7607,1.06489,0.00153497,0.00153497,0.00153497
8,1009.39,1.07323,0.94209,1.12991,0.87419,0.81053,0.86894,0.64399,0.89718,0.74841,1.05447,0.00151297,0.00151297,0.00151297
9,1136.52,1.04499,0.90177,1.11294,0.8367,0.80262,0.84662,0.63589,0.89113,0.76992,1.04862,0.00149096,0.00149096,0.00149096
10,1261.45,1.01561,0.88066,1.10947,0.87911,0.81348,0.86887,0.65746,0.84392,0.71883,1.04673,0.00146896,0.00146896,0.00146896
11,1386.79,1.015,0.86732,1.10903,0.89428,0.81232,0.87914,0.66586,0.83909,0.6786,1.03292,0.00144696,0.00144696,0.00144696
12,1512.43,0.98741,0.8338,1.09111,0.90958,0.81579,0.89122,0.68242,0.81553,0.65466,1.03384,0.00142495,0.00142495,0.00142495
13,1637.48,0.97759,0.81008,1.09474,0.8734,0.82269,0.87798,0.66664,0.8585,0.67958,1.03574,0.00140295,0.00140295,0.00140295
14,1763.83,0.96097,0.80884,1.0819,0.88498,0.83657,0.89221,0.67063,0.82566,0.66293,1.02066,0.00138094,0.00138094,0.00138094
15,1889.2,0.93972,0.78192,1.0629,0.89669,0.83285,0.90813,0.6991,0.80605,0.62321,1.01287,0.00135894,0.00135894,0.00135894
16,2016.39,0.92552,0.75916,1.06093,0.91521,0.8513,0.91279,0.70252,0.78555,0.60985,1.00711,0.00133693,0.00133693,0.00133693
17,2143.38,0.933,0.76652,1.0602,0.89906,0.82728,0.89739,0.70343,0.76892,0.60481,0.99596,0.00131493,0.00131493,0.00131493
18,2267.49,0.93238,0.75122,1.06569,0.85262,0.87175,0.89494,0.69977,0.78325,0.60396,1.01443,0.00129293,0.00129293,0.00129293
19,2393.52,0.89849,0.70766,1.03943,0.90592,0.86125,0.91398,0.71586,0.78202,0.57664,0.99918,0.00127092,0.00127092,0.00127092
20,2519.47,0.90366,0.73302,1.05042,0.90396,0.85659,0.91156,0.71318,0.75129,0.58367,0.98787,0.00124892,0.00124892,0.00124892
21,2642.87,0.88311,0.71229,1.03502,0.9006,0.85468,0.91414,0.72308,0.74061,0.56672,0.97422,0.00122691,0.00122691,0.00122691
22,2770.5,0.87328,0.71258,1.03058,0.92008,0.85243,0.91842,0.73414,0.74301,0.5546,0.98661,0.00120491,0.00120491,0.00120491
