epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.134,1.3967,2.39589,1.26918,0.68623,0.63411,0.66235,0.44848,1.17515,1.55336,1.21796,0.000554742,0.000554742,0.000554742
2,389.279,1.3389,1.51473,1.25535,0.71585,0.66978,0.71044,0.48619,1.12768,1.11322,1.17306,0.00109575,0.00109575,0.00109575
3,579.856,1.30157,1.28556,1.24661,0.72469,0.69366,0.72708,0.50081,1.15681,1.0742,1.20856,0.00162209,0.00162209,0.00162209
4,769.496,1.25844,1.19021,1.20999,0.80881,0.70327,0.75619,0.5329,1.07457,0.89424,1.13471,0.00160099,0.00160099,0.00160099
5,958.09,1.2069,1.09749,1.19296,0.77186,0.74278,0.76238,0.55147,1.02619,0.90261,1.11008,0.00157898,0.00157898,0.00157898
6,1148.21,1.18597,1.04929,1.17393,0.81337,0.74737,0.78536,0.56036,1.00795,0.81242,1.10231,0.00155698,0.00155698,0.00155698
7,1338.03,1.15168,1.01931,1.15885,0.85553,0.75425,0.82198,0.59433,0.95962,0.75358,1.0652,0.00153497,0.00153497,0.00153497
8,1524.53,1.12845,0.9729,1.14749,0.84043,0.74866,0.81052,0.60192,0.93615,0.74955,1.06103,0.00151297,0.00151297,0.00151297
9,1720.07,1.10856,0.9453,1.13512,0.8481,0.78279,0.82398,0.60619,0.92214,0.75122,1.05586,0.00149096,0.00149096,0.00149096
10,1909.49,1.09939,0.93102,1.12189,0.85268,0.80298,0.83394,0.60234,0.95151,0.7302,1.0612,0.00146896,0.00146896,0.00146896
11,2097.05,1.06395,0.89892,1.11237,0.83791,0.79164,0.82647,0.60856,0.92136,0.72152,1.05879,0.00144696,0.00144696,0.00144696
12,2285.45,1.07382,0.89014,1.1166,0.84943,0.77806,0.83347,0.61884,0.92561,0.69474,1.06665,0.00142495,0.00142495,0.00142495
13,2475.31,1.04872,0.86786,1.1053,0.87362,0.79791,0.83672,0.62864,0.88234,0.68237,1.03814,0.00140295,0.00140295,0.00140295
14,2665.37,1.03625,0.85427,1.0982,0.86076,0.81017,0.85496,0.64493,0.86843,0.67625,1.02585,0.00138094,0.00138094,0.00138094
15,2855.34,1.02608,0.82873,1.08944,0.84951,0.83789,0.86036,0.6496,0.85671,0.64757,1.0259,0.00135894,0.00135894,0.00135894
16,3044.19,1.00725,0.81045,1.08889,0.90236,0.81618,0.87162,0.66414,0.86898,0.61274,1.03428,0.00133693,0.00133693,0.00133693
17,3232.84,1.00055,0.80457,1.0834,0.87309,0.81623,0.86449,0.66173,0.85694,0.63484,1.02006,0.00131493,0.00131493,0.00131493
18,3422.67,0.99187,0.78825,1.07345,0.89668,0.80928,0.87236,0.67417,0.85102,0.62637,1.022,0.00129293,0.00129293,0.00129293
19,3611.42,0.98054,0.77827,1.07112,0.86296,0.82757,0.87272,0.67333,0.83329,0.60723,1.01576,0.00127092,0.00127092,0.00127092
20,3801.44,0.97402,0.77382,1.06501,0.86783,0.85052,0.88592,0.68042,0.84381,0.58654,1.01682,0.00124892,0.00124892,0.00124892
21,3988.52,0.96661,0.75321,1.05707,0.90904,0.82508,0.87988,0.67999,0.81289,0.59002,1.0071,0.00122691,0.00122691,0.00122691
22,4177.82,0.96769,0.76574,1.05721,0.92323,0.8617,0.90516,0.69738,0.82798,0.57261,1.00182,0.00120491,0.00120491,0.00120491
23,4368.12,0.95413,0.75168,1.0525,0.85813,0.8268,0.87132,0.67686,0.79341,0.60221,0.99464,0.0011829,0.0011829,0.0011829
24,4555.42,0.94632,0.73887,1.0564,0.89843,0.83445,0.88152,0.69248,0.79615,0.57758,0.9927,0.0011609,0.0011609,0.0011609
25,4745.45,0.94918,0.73585,1.05105,0.87752,0.84599,0.87793,0.68175,0.81095,0.58362,1.00442,0.00113889,0.00113889,0.00113889
26,4937.38,0.92996,0.71727,1.04396,0.89525,0.84174,0.88796,0.69439,0.7918,0.578,0.9921,0.00111689,0.00111689,0.00111689
27,5125.1,0.92303,0.71589,1.03374,0.90624,0.86531,0.9022,0.70693,0.78786,0.55609,0.99402,0.00109489,0.00109489,0.00109489
28,5313.66,0.91224,0.7035,1.03424,0.90322,0.84796,0.88189,0.70636,0.78068,0.55829,0.99141,0.00107288,0.00107288,0.00107288
29,5501.93,0.90515,0.69623,1.03128,0.90278,0.83823,0.88943,0.71019,0.78149,0.53835,0.98951,0.00105088,0.00105088,0.00105088
30,5688.81,0.9241,0.70515,1.04592,0.9208,0.84528,0.90671,0.71766,0.77577,0.53217,0.98325,0.00102887,0.00102887,0.00102887
31,5878.05,0.91175,0.68609,1.02763,0.94126,0.86135,0.90668,0.71588,0.78376,0.52279,0.98736,0.00100687,0.00100687,0.00100687
32,6064.19,0.88895,0.66089,1.01787,0.91796,0.86728,0.90366,0.71077,0.79974,0.53377,0.99785,0.000984864,0.000984864,0.000984864
33,6252.51,0.88536,0.66503,1.02586,0.91183,0.85774,0.89504,0.7189,0.76904,0.52287,0.98694,0.000962859,0.000962859,0.000962859
34,6439.34,0.89277,0.6684,1.02173,0.94846,0.84483,0.91089,0.72004,0.76743,0.52226,0.99106,0.000940855,0.000940855,0.000940855
35,6629.21,0.87964,0.65933,1.02049,0.91247,0.85251,0.90192,0.72933,0.75702,0.52477,0.9712,0.00091885,0.00091885,0.00091885
36,6816.64,0.88234,0.66595,1.0213,0.89347,0.86526,0.9065,0.72577,0.74838,0.52135,0.97499,0.000896846,0.000896846,0.000896846
37,7009.07,0.87943,0.65635,1.01889,0.91398,0.85284,0.89439,0.72572,0.76272,0.53517,0.97678,0.000874842,0.000874842,0.000874842
38,7195.9,0.86493,0.6397,1.01222,0.89172,0.88499,0.90585,0.72156,0.77255,0.50463,0.99256,0.000852837,0.000852837,0.000852837
39,7383.1,0.86986,0.6419,1.01567,0.92308,0.85611,0.90509,0.7334,0.74812,0.51032,0.97228,0.000830833,0.000830833,0.000830833
