epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,7570.06,0.85774,0.63887,1.0101,0.91548,0.87047,0.90056,0.73178,0.76247,0.51442,0.98167,0.000808828,0.000808828,0.000808828
41,7759.55,0.85641,0.63082,1.0067,0.92856,0.86697,0.90579,0.74274,0.73812,0.49949,0.964,0.000786824,0.000786824,0.000786824
42,7952.2,0.85291,0.61439,1.00219,0.93156,0.87737,0.91768,0.7377,0.74298,0.49093,0.97131,0.00076482,0.00076482,0.00076482
43,8140.08,0.84783,0.61597,0.99675,0.9214,0.86694,0.91034,0.73243,0.73946,0.49183,0.96394,0.000742815,0.000742815,0.000742815
44,8329.7,0.83883,0.61809,1.0033,0.91976,0.87038,0.90224,0.73875,0.72792,0.50103,0.96894,0.000720811,0.000720811,0.000720811
45,8523.08,0.83886,0.62322,0.99968,0.90096,0.8727,0.90974,0.73391,0.74031,0.49791,0.97083,0.000698806,0.000698806,0.000698806
46,8720.92,0.83895,0.60789,1.00253,0.89618,0.86713,0.90174,0.73567,0.73063,0.50744,0.96989,0.000676802,0.000676802,0.000676802
47,8917.27,0.83678,0.60603,0.99899,0.91975,0.86892,0.90832,0.7401,0.73763,0.48656,0.97543,0.000654798,0.000654798,0.000654798
48,9110.79,0.84499,0.60784,1.00406,0.90645,0.88169,0.91268,0.74867,0.72949,0.47897,0.96798,0.000632793,0.000632793,0.000632793
49,9302.57,0.82239,0.5916,0.992,0.93109,0.88138,0.91056,0.7403,0.7382,0.48248,0.97477,0.000610789,0.000610789,0.000610789
50,9495.24,0.81609,0.58474,0.99217,0.93842,0.86683,0.90894,0.74255,0.71553,0.4764,0.95924,0.000588784,0.000588784,0.000588784
51,9701.56,0.81826,0.59165,0.99228,0.91821,0.86873,0.90424,0.73808,0.72738,0.47877,0.9685,0.00056678,0.00056678,0.00056678
52,9892.92,0.79965,0.57564,0.9873,0.92234,0.86874,0.91438,0.74586,0.72231,0.47768,0.96208,0.000544776,0.000544776,0.000544776
53,10087.1,0.80293,0.5714,0.98603,0.92905,0.87777,0.91186,0.75022,0.70528,0.46155,0.95257,0.000522771,0.000522771,0.000522771
54,10278.9,0.80055,0.56614,0.98297,0.93001,0.87218,0.92023,0.75101,0.70766,0.46213,0.95438,0.000500767,0.000500767,0.000500767
55,10470.5,0.79906,0.5802,0.97941,0.91856,0.86874,0.91394,0.74987,0.72281,0.46881,0.96075,0.000478762,0.000478762,0.000478762
56,10665.7,0.79176,0.55362,0.97766,0.94088,0.86564,0.91239,0.75371,0.70803,0.45175,0.96049,0.000456758,0.000456758,0.000456758
57,10856.5,0.78495,0.55305,0.97525,0.94455,0.85759,0.90708,0.75438,0.69823,0.4569,0.95613,0.000434754,0.000434754,0.000434754
58,11047.9,0.79322,0.55993,0.98062,0.93656,0.87989,0.91077,0.75362,0.70258,0.45832,0.96062,0.000412749,0.000412749,0.000412749
59,11239,0.79123,0.55566,0.98104,0.92915,0.88052,0.91323,0.75228,0.7078,0.45911,0.9617,0.000390745,0.000390745,0.000390745
60,11430,0.7818,0.54318,0.97444,0.92887,0.8886,0.91236,0.75408,0.69809,0.45322,0.95626,0.00036874,0.00036874,0.00036874
61,11621.6,0.77312,0.54158,0.97103,0.92945,0.87524,0.90896,0.75316,0.70481,0.45919,0.95853,0.000346736,0.000346736,0.000346736
62,11814.6,0.77098,0.53512,0.96957,0.92601,0.88043,0.91461,0.76508,0.69398,0.4527,0.95633,0.000324732,0.000324732,0.000324732
63,12008.5,0.76384,0.52497,0.96868,0.92711,0.88485,0.9119,0.7579,0.7016,0.45076,0.96034,0.000302727,0.000302727,0.000302727
64,12200.8,0.7755,0.54354,0.97165,0.91206,0.89528,0.90955,0.76071,0.69429,0.45145,0.95432,0.000280723,0.000280723,0.000280723
65,12395.1,0.76265,0.52743,0.96987,0.92303,0.88155,0.91438,0.76697,0.68225,0.44226,0.95126,0.000258718,0.000258718,0.000258718
66,12594.1,0.66875,0.43664,0.91015,0.93388,0.86431,0.91074,0.76177,0.69242,0.45453,0.9519,0.000236714,0.000236714,0.000236714
67,12784.8,0.66226,0.4286,0.9107,0.93206,0.8719,0.91154,0.76435,0.67964,0.44114,0.94904,0.00021471,0.00021471,0.00021471
68,12975.7,0.65695,0.41852,0.90635,0.90718,0.88888,0.91253,0.76414,0.68042,0.445,0.94893,0.000192705,0.000192705,0.000192705
69,13166.4,0.6501,0.41571,0.9019,0.91948,0.88155,0.91483,0.77037,0.67423,0.44361,0.94595,0.000170701,0.000170701,0.000170701
70,13357.7,0.64342,0.40893,0.90235,0.90671,0.88757,0.91524,0.76886,0.67954,0.43629,0.95052,0.000148696,0.000148696,0.000148696
71,13547.6,0.64629,0.40618,0.90349,0.91703,0.88488,0.91365,0.76872,0.68066,0.44193,0.95079,0.000126692,0.000126692,0.000126692
72,13738.5,0.63387,0.40386,0.8945,0.91316,0.8882,0.91241,0.77041,0.68236,0.43657,0.95123,0.000104688,0.000104688,0.000104688
73,13929.3,0.63217,0.39761,0.89774,0.91542,0.88632,0.91437,0.76847,0.68064,0.44056,0.95187,8.26832e-05,8.26832e-05,8.26832e-05
74,14119.8,0.63097,0.40155,0.89531,0.91597,0.88819,0.91423,0.76873,0.68096,0.43753,0.95114,6.06788e-05,6.06788e-05,6.06788e-05
75,14312.1,0.62667,0.39701,0.89361,0.9017,0.89977,0.91434,0.76842,0.67978,0.43685,0.95027,3.86744e-05,3.86744e-05,3.86744e-05
