epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3020.52,0.7183,0.50006,0.94609,0.94112,0.84907,0.91443,0.73707,0.71622,0.52349,0.99091,0.00076482,0.00076482,0.00076482
43,3090.5,0.7157,0.49621,0.94138,0.89743,0.8658,0.91353,0.73079,0.72083,0.51091,0.98973,0.000742815,0.000742815,0.000742815
44,3162.51,0.72656,0.50555,0.94481,0.90008,0.87081,0.91352,0.7307,0.71966,0.49074,0.99258,0.000720811,0.000720811,0.000720811
45,3234.94,0.73841,0.50103,0.94583,0.93215,0.85444,0.92568,0.73632,0.71049,0.48146,0.98674,0.000698806,0.000698806,0.000698806
46,3320.33,0.72051,0.50632,0.94012,0.93114,0.86996,0.92433,0.73793,0.7226,0.47807,0.9938,0.000676802,0.000676802,0.000676802
47,3397.17,0.70947,0.50513,0.94305,0.89055,0.87768,0.91965,0.73325,0.71337,0.48915,0.98851,0.000654798,0.000654798,0.000654798
48,3478.07,0.70494,0.49575,0.93572,0.91232,0.84386,0.91078,0.71733,0.73316,0.50969,1.00119,0.000632793,0.000632793,0.000632793
49,3563.58,0.70294,0.49028,0.93042,0.88857,0.86962,0.91452,0.72852,0.71136,0.49339,0.98204,0.000610789,0.000610789,0.000610789
50,3637.46,0.70625,0.4891,0.93064,0.92654,0.85216,0.91788,0.73697,0.70559,0.48145,0.98718,0.000588784,0.000588784,0.000588784
51,3708.78,0.69896,0.49097,0.94288,0.92331,0.87248,0.92367,0.74803,0.69321,0.48808,0.98102,0.00056678,0.00056678,0.00056678
52,3777.07,0.68362,0.48823,0.92729,0.91499,0.86727,0.91792,0.73935,0.71393,0.48236,0.99203,0.000544776,0.000544776,0.000544776
53,3850.85,0.68059,0.48152,0.92764,0.94228,0.85084,0.92635,0.74723,0.69127,0.46748,0.97985,0.000522771,0.000522771,0.000522771
54,3920.78,0.67253,0.46703,0.91612,0.89086,0.86987,0.92076,0.74974,0.68863,0.47627,0.97905,0.000500767,0.000500767,0.000500767
55,3987.41,0.66803,0.4603,0.9222,0.91968,0.86206,0.91916,0.75612,0.68254,0.47392,0.97236,0.000478762,0.000478762,0.000478762
56,4058.63,0.69113,0.49117,0.92975,0.93823,0.86216,0.9273,0.75035,0.68924,0.46777,0.9827,0.000456758,0.000456758,0.000456758
57,4126.74,0.68732,0.4857,0.92759,0.91924,0.87144,0.92467,0.74531,0.69208,0.46896,0.9866,0.000434754,0.000434754,0.000434754
